race,credit_score,zipcode,will_default
black,567,71207,True
hispanic,425,71204,False
hispanic,688,71203,False
black,519,71206,False
white,662,71207,False
white,866,71204,False
white,601,71202,True
hispanic,568,71204,False
hispanic,718,71204,True
black,349,71205,True
white,453,71204,True
asian,761,71201,False
hispanic,359,71207,True
white,681,71204,False
black,515,71206,False
black,390,71204,True
white,713,71207,False
white,862,71203,False
white,868,71203,False
white,628,71206,False
asian,747,71205,False
asian,717,71200,False
white,477,71203,True
white,674,71203,False
white,722,71207,False
hispanic,364,71202,True
asian,773,71206,False
black,747,71202,True
asian,667,71206,False
white,729,71206,False
white,715,71202,False
white,596,71203,True
hispanic,637,71206,True
hispanic,551,71204,True
asian,592,71200,False
asian,630,71200,False
asian,784,71204,False
hispanic,575,71203,False
white,336,71207,True
asian,424,71203,True
black,350,71206,True
asian,754,71205,True
asian,462,71205,True
black,372,71206,True
white,658,71202,False
hispanic,497,71206,True
asian,516,71202,False
asian,733,71205,False
white,765,71202,False
black,601,71202,False
asian,616,71200,False
asian,809,71200,False
white,717,71203,False
hispanic,438,71202,True
white,530,71203,True
asian,638,71202,True
white,783,71204,False
white,677,71203,False
black,697,71202,False
white,463,71202,True
white,781,71202,False
white,775,71207,False
white,629,71203,True
white,714,71203,False
white,788,71203,False
asian,760,71204,False
white,659,71202,False
hispanic,420,71205,False
white,708,71202,False
hispanic,540,71205,True
hispanic,583,71204,False
hispanic,603,71202,False
white,616,71202,False
hispanic,496,71204,True
asian,857,71204,False
white,383,71202,True
white,593,71205,True
hispanic,837,71200,False
white,662,71202,False
white,788,71202,False
asian,603,71200,False
asian,447,71200,True
white,749,71203,False
white,569,71200,False
white,658,71203,True
white,631,71204,False
white,708,71206,False
asian,723,71204,False
white,732,71201,False
asian,748,71202,False
hispanic,760,71206,False
asian,745,71200,False
black,518,71207,True
white,604,71203,False
hispanic,518,71205,True
hispanic,825,71207,False
asian,807,71206,False
white,732,71202,False
asian,763,71201,False
hispanic,583,71206,False
white,548,71202,False
asian,628,71200,False
black,314,71206,True
asian,679,71204,False
asian,589,71201,True
asian,678,71202,False
asian,822,71204,False
hispanic,786,71206,False
black,682,71204,False
hispanic,577,71204,False
white,771,71202,False
white,615,71205,False
black,460,71205,True
asian,732,71200,False
asian,715,71203,False
white,811,71203,False
asian,692,71203,False
hispanic,770,71204,False
black,577,71207,True
white,563,71206,False
white,477,71207,True
white,784,71202,False
black,347,71207,True
black,363,71207,True
white,608,71203,False
hispanic,716,71202,False
white,800,71202,False
white,748,71203,False
hispanic,495,71204,True
white,452,71202,True
asian,516,71200,True
black,318,71204,True
white,620,71203,True
black,702,71200,False
white,641,71200,False
white,344,71207,True
hispanic,748,71205,True
white,603,71202,False
asian,686,71204,False
hispanic,753,71204,False
asian,634,71202,False
black,632,71207,False
black,662,71204,False
white,816,71202,False
asian,638,71206,False
white,571,71201,False
hispanic,832,71205,False
white,476,71203,True
black,320,71205,True
asian,808,71200,False
white,656,71202,False
black,395,71200,True
asian,587,71203,False
white,804,71204,False
white,690,71204,False
hispanic,599,71204,False
hispanic,441,71204,True
black,483,71207,False
white,579,71206,False
hispanic,744,71202,False
black,546,71206,True
asian,617,71203,True
black,465,71204,True
hispanic,579,71207,False
white,610,71203,False
hispanic,598,71204,False
white,289,71204,True
hispanic,631,71202,False
black,345,71206,True
hispanic,452,71206,True
asian,674,71201,False
hispanic,747,71204,False
black,383,71204,False
asian,751,71205,False
white,598,71202,False
white,714,71200,False
asian,764,71204,False
hispanic,438,71205,True
black,396,71205,True
white,685,71200,False
asian,737,71204,False
asian,529,71200,False
hispanic,529,71200,False
black,603,71204,False
white,604,71205,True
black,717,71207,False
hispanic,509,71200,False
white,767,71202,False
black,340,71205,True
black,359,71206,True
white,419,71200,False
white,755,71200,False
asian,579,71203,False
black,571,71207,False
black,438,71206,True
black,422,71204,True
hispanic,538,71200,False
asian,395,71200,False
white,789,71200,False
asian,463,71203,True
hispanic,476,71202,True
hispanic,506,71205,True
asian,420,71200,True
white,717,71202,False
hispanic,668,71204,False
black,649,71207,False
asian,755,71202,False
hispanic,597,71206,False
asian,627,71206,True
white,764,71203,False
hispanic,440,71205,True
white,351,71206,True
black,449,71207,True
white,747,71201,False
white,629,71200,False
white,426,71201,True
asian,633,71200,False
hispanic,459,71200,False
asian,767,71206,False
asian,464,71200,True
asian,650,71200,False
white,780,71201,False
black,351,71206,True
black,382,71206,True
hispanic,645,71204,False
asian,503,71203,True
white,796,71203,False
hispanic,425,71206,True
white,480,71202,False
white,614,71202,False
black,620,71205,True
asian,794,71206,False
white,589,71201,False
asian,659,71201,False
white,607,71203,True
white,599,71206,False
black,417,71206,True
hispanic,710,71201,False
white,597,71203,False
white,616,71204,False
asian,686,71204,False
asian,422,71203,True
black,680,71204,False
white,350,71202,False
white,520,71202,True
white,614,71204,False
white,615,71205,False
asian,599,71206,False
white,604,71201,True
white,528,71201,True
asian,453,71201,False
black,302,71204,True
black,605,71206,False
white,601,71203,False
hispanic,433,71205,True
white,765,71202,False
white,644,71204,False
white,835,71206,False
white,407,71203,True
asian,646,71201,False
black,470,71206,True
white,586,71202,False
asian,730,71202,True
asian,631,71200,False
black,466,71207,True
white,651,71202,False
black,563,71205,True
black,571,71206,True
white,663,71203,False
hispanic,628,71202,True
hispanic,826,71205,False
hispanic,531,71204,False
asian,692,71201,True
asian,449,71200,True
white,506,71202,True
black,600,71207,False
hispanic,611,71202,False
white,793,71205,False
hispanic,290,71207,True
asian,708,71200,False
hispanic,578,71204,True
white,801,71202,False
black,329,71206,True
asian,710,71204,False
hispanic,758,71205,False
black,470,71204,True
white,785,71207,False
black,559,71206,True
white,794,71206,False
black,467,71200,False
black,657,71202,False
hispanic,525,71200,False
hispanic,597,71205,False
white,624,71200,False
hispanic,788,71200,False
white,573,71202,False
white,686,71201,False
hispanic,494,71206,True
white,406,71203,True
asian,615,71201,True
white,692,71202,False
white,508,71203,False
hispanic,513,71202,True
white,481,71203,True
asian,550,71201,False
hispanic,538,71205,True
white,807,71201,False
white,666,71202,False
asian,602,71206,False
black,752,71202,False
asian,659,71202,False
white,797,71203,False
hispanic,581,71206,True
white,369,71202,True
white,612,71204,False
white,669,71203,False
black,644,71207,True
asian,379,71202,True
black,546,71205,True
asian,593,71202,True
white,737,71203,False
black,570,71207,True
black,471,71206,True
white,747,71203,False
white,668,71204,False
white,783,71205,False
asian,580,71201,True
white,847,71202,False
hispanic,541,71204,False
hispanic,645,71204,True
white,453,71202,True
hispanic,626,71205,False
white,800,71204,False
asian,650,71201,True
black,347,71206,True
hispanic,540,71204,False
black,381,71200,True
white,622,71203,True
hispanic,521,71204,False
asian,849,71201,False
asian,680,71201,False
asian,659,71204,False
white,843,71203,False
black,381,71202,False
white,721,71204,False
asian,733,71200,False
asian,725,71205,False
white,726,71203,False
asian,644,71200,False
white,659,71201,False
black,564,71206,True
asian,720,71200,False
black,337,71204,True
black,600,71206,True
black,533,71205,True
hispanic,488,71206,False
asian,641,71202,False
hispanic,579,71205,False
hispanic,300,71202,True
white,624,71203,True
white,616,71202,False
white,821,71202,False
black,577,71206,True
white,570,71202,False
white,700,71200,False
hispanic,669,71205,False
white,730,71203,True
black,617,71204,True
black,394,71205,True
asian,600,71206,False
hispanic,436,71205,True
white,750,71200,False
hispanic,337,71207,True
asian,703,71200,False
white,621,71202,False
white,676,71201,False
white,769,71206,False
asian,798,71206,False
hispanic,697,71205,False
white,419,71201,True
asian,736,71201,False
hispanic,460,71204,True
white,387,71200,True
hispanic,665,71202,False
white,696,71202,False
hispanic,348,71200,True
white,650,71200,False
white,314,71203,True
asian,783,71206,False
white,719,71203,False
hispanic,620,71204,False
black,816,71204,False
hispanic,443,71207,True
white,327,71202,True
white,573,71203,True
white,792,71200,False
black,423,71206,True
white,602,71202,True
asian,728,71204,False
black,340,71204,True
white,665,71202,True
asian,760,71200,False
asian,719,71200,False
asian,710,71201,False
white,637,71203,False
white,597,71202,True
white,720,71202,False
black,675,71204,False
black,604,71206,False
white,622,71204,False
white,744,71200,False
asian,589,71206,False
asian,640,71200,False
black,375,71204,True
white,464,71204,True
white,598,71201,True
hispanic,518,71206,True
asian,590,71205,False
asian,758,71201,False
white,812,71202,False
asian,696,71201,True
asian,422,71200,True
white,803,71200,False
hispanic,810,71202,False
asian,796,71207,False
white,732,71203,False
hispanic,785,71207,False
white,317,71200,True
black,409,71206,True
asian,685,71202,False
white,765,71200,False
hispanic,702,71204,True
white,801,71200,False
white,578,71202,False
white,702,71200,False
white,791,71200,False
white,784,71206,False
asian,429,71200,True
asian,753,71202,False
white,570,71204,False
white,548,71206,False
white,475,71203,True
asian,771,71200,False
black,581,71206,False
white,579,71200,True
black,596,71207,True
asian,628,71202,True
black,841,71206,False
white,600,71203,True
white,714,71204,False
hispanic,565,71206,False
asian,895,71202,False
hispanic,734,71204,True
white,427,71204,True
white,671,71202,True
white,839,71204,False
black,482,71206,True
asian,799,71206,False
asian,818,71202,False
hispanic,351,71205,True
black,636,71204,False
black,409,71206,True
white,787,71202,False
asian,511,71200,True
white,670,71202,False
white,728,71202,False
white,610,71202,True
asian,924,71202,False
asian,727,71204,False
black,676,71202,False
hispanic,463,71204,True
white,656,71203,False
black,351,71206,True
black,413,71207,True
black,439,71206,False
white,633,71200,False
white,822,71203,False
white,701,71200,False
asian,614,71202,False
white,823,71203,False
hispanic,749,71205,False
asian,501,71203,False
white,666,71203,True
asian,683,71200,False
black,371,71206,True
asian,610,71200,False
hispanic,700,71206,False
asian,885,71204,False
white,586,71200,False
hispanic,374,71205,True
black,660,71207,False
white,448,71203,False
white,746,71203,False
white,793,71200,False
hispanic,712,71207,False
hispanic,517,71205,True
asian,502,71203,False
black,618,71206,False
black,417,71203,True
hispanic,834,71205,False
white,612,71205,False
white,739,71200,False
asian,778,71201,False
white,670,71206,False
white,657,71202,False
white,553,71200,False
white,783,71203,True
black,368,71207,True
white,687,71203,False
hispanic,532,71206,True
hispanic,539,71206,True
asian,821,71200,False
black,523,71201,True
black,369,71205,True
white,363,71200,False
black,445,71206,True
black,654,71202,False
white,587,71206,False
asian,744,71206,False
black,587,71203,True
asian,680,71200,False
white,898,71203,False
hispanic,735,71204,False
hispanic,531,71207,True
hispanic,751,71204,False
hispanic,649,71200,False
asian,633,71206,False
white,589,71203,True
asian,529,71202,True
black,484,71207,True
asian,619,71206,False
hispanic,505,71202,True
hispanic,494,71200,True
black,301,71207,True
black,299,71204,True
white,670,71202,True
black,780,71200,False
asian,337,71203,True
asian,773,71200,False
white,357,71203,True
asian,646,71200,False
black,618,71204,False
white,738,71202,False
white,393,71203,True
white,742,71204,False
black,378,71206,True
asian,646,71200,False
asian,521,71200,True
asian,379,71202,True
hispanic,615,71204,False
white,832,71203,False
white,726,71203,True
asian,848,71201,False
black,354,71207,True
white,703,71202,False
black,652,71207,False
hispanic,610,71205,False
asian,356,71200,True
hispanic,506,71205,True
white,766,71200,False
white,681,71204,False
white,723,71203,False
white,743,71201,False
hispanic,757,71204,False
asian,650,71206,True
black,606,71204,False
hispanic,580,71204,False
hispanic,698,71204,False
black,463,71207,True
asian,682,71200,False
white,892,71202,False
asian,691,71200,False
asian,651,71201,False
asian,736,71200,False
hispanic,486,71205,True
white,582,71206,False
hispanic,626,71204,False
hispanic,683,71205,False
asian,614,71206,False
white,654,71204,False
asian,665,71204,False
asian,750,71202,False
asian,641,71201,False
hispanic,614,71204,False
black,512,71207,True
hispanic,750,71205,False
white,872,71202,False
asian,614,71202,False
white,700,71203,False
asian,631,71201,True
white,757,71202,False
hispanic,470,71204,False
white,703,71204,False
white,613,71203,False
black,375,71207,False
white,459,71202,True
asian,531,71200,False
white,633,71206,False
black,414,71207,True
hispanic,650,71206,False
black,589,71200,False
white,662,71203,False
asian,298,71205,True
white,760,71206,False
hispanic,636,71202,False
asian,787,71200,False
hispanic,409,71205,True
black,741,71206,False
black,736,71204,False
white,643,71203,False
black,516,71205,True
white,642,71204,True
white,672,71203,False
white,729,71206,False
white,392,71202,True
hispanic,755,71204,False
white,752,71202,False
white,715,71203,False
hispanic,614,71204,False
black,496,71206,True
black,334,71204,True
white,657,71203,False
black,521,71207,False
asian,309,71200,True
white,687,71201,False
black,677,71206,True
hispanic,615,71204,False
white,614,71206,False
black,306,71206,True
hispanic,554,71206,False
white,821,71202,False
asian,706,71202,False
white,546,71200,True
white,719,71202,False
white,624,71202,True
white,776,71200,False
hispanic,648,71204,True
black,581,71204,False
hispanic,695,71202,False
white,528,71200,False
asian,751,71201,False
hispanic,637,71205,True
black,338,71204,True
asian,701,71200,False
hispanic,269,71204,True
asian,871,71200,False
black,302,71206,True
asian,680,71204,False
white,645,71202,True
asian,686,71201,False
asian,406,71201,True
hispanic,439,71204,True
white,716,71207,False
asian,619,71202,False
asian,775,71204,False
asian,816,71201,False
black,460,71207,True
white,752,71200,False
hispanic,599,71204,True
white,742,71202,True
white,650,71202,True
white,631,71201,False
asian,847,71201,False
white,338,71200,False
white,570,71202,False
asian,774,71204,False
asian,313,71200,True
asian,621,71200,True
white,398,71202,True
white,619,71203,True
white,683,71207,False
hispanic,732,71205,False
hispanic,400,71200,False
white,437,71202,True
hispanic,438,71202,True
asian,319,71206,True
hispanic,821,71203,False
asian,804,71204,False
white,820,71200,False
black,560,71206,True
hispanic,713,71206,False
asian,808,71207,False
white,686,71204,False
hispanic,562,71205,True
asian,696,71203,True
white,505,71203,True
asian,739,71200,False
asian,781,71204,False
white,738,71203,False
white,788,71202,False
white,698,71202,False
hispanic,677,71202,False
asian,616,71203,False
black,594,71204,False
asian,704,71204,False
white,422,71203,True
black,359,71207,True
asian,304,71200,True
hispanic,494,71202,True
black,668,71207,True
asian,739,71204,False
black,496,71206,True
white,720,71202,False
asian,674,71200,False
white,688,71200,False
white,799,71203,False
white,659,71200,False
asian,792,71200,False
white,804,71200,False
black,461,71207,True
asian,724,71202,False
white,355,71202,True
black,562,71202,False
white,682,71203,False
white,759,71203,False
white,849,71204,False
white,608,71203,False
asian,624,71200,False
asian,747,71200,False
white,730,71206,False
hispanic,683,71205,True
white,734,71201,False
hispanic,789,71206,False
white,567,71206,False
asian,792,71202,False
black,703,71206,False
white,647,71201,True
white,906,71203,False
hispanic,421,71207,True
asian,739,71200,False
hispanic,816,71202,False
white,774,71206,False
asian,715,71201,False
black,466,71206,True
white,638,71200,False
hispanic,357,71207,True
black,475,71207,True
white,752,71202,False
white,444,71202,True
white,704,71202,True
black,596,71205,False
black,407,71207,True
asian,554,71200,True
hispanic,387,71206,True
asian,606,71201,False
asian,808,71204,False
asian,798,71204,False
asian,712,71202,False
asian,398,71202,False
hispanic,337,71205,True
asian,523,71200,True
hispanic,608,71204,True
white,769,71202,False
black,773,71202,False
black,452,71207,True
white,595,71202,False
asian,753,71200,False
asian,612,71202,False
hispanic,733,71204,False
white,574,71203,False
white,758,71202,False
asian,658,71206,False
white,513,71202,True
asian,698,71200,False
black,517,71204,True
hispanic,765,71202,False
white,782,71207,False
white,632,71201,False
hispanic,337,71205,True
hispanic,559,71204,True
white,853,71202,False
white,670,71203,True
asian,807,71204,False
asian,651,71200,False
hispanic,744,71205,False
white,847,71202,False
black,569,71207,True
white,730,71204,False
white,727,71202,False
black,351,71207,True
asian,383,71200,True
black,744,71207,False
asian,754,71202,False
black,543,71200,True
hispanic,544,71204,False
hispanic,380,71202,True
black,398,71206,True
hispanic,686,71204,False
white,710,71202,True
white,716,71206,False
white,784,71202,False
black,706,71205,False
white,802,71200,False
black,567,71206,True
hispanic,492,71206,False
hispanic,616,71205,True
hispanic,847,71202,False
asian,641,71204,False
asian,592,71206,False
white,617,71201,True
white,671,71204,False
asian,604,71200,False
hispanic,745,71200,False
white,775,71200,False
hispanic,553,71202,True
asian,740,71200,False
hispanic,673,71202,False
white,775,71202,False
white,578,71201,True
asian,855,71202,False
white,817,71204,False
hispanic,772,71204,False
white,737,71202,False
white,536,71203,False
white,680,71201,False
white,702,71203,False
asian,747,71200,False
white,326,71203,True
white,710,71206,False
hispanic,781,71202,False
white,642,71202,True
asian,567,71200,True
black,560,71207,True
hispanic,855,71204,False
white,556,71203,False
hispanic,779,71206,False
hispanic,565,71205,True
white,816,71203,False
white,544,71202,False
white,782,71206,False
hispanic,663,71204,False
white,870,71202,False
asian,544,71206,False
asian,693,71200,False
black,509,71206,True
hispanic,538,71200,False
black,714,71200,False
white,770,71202,False
white,508,71202,True
asian,729,71201,False
asian,731,71206,False
black,761,71206,False
white,682,71201,False
black,601,71207,True
white,618,71203,False
asian,671,71206,False
black,479,71207,True
hispanic,359,71207,True
black,605,71206,False
asian,706,71202,False
white,744,71202,False
black,564,71206,False
black,477,71204,False
asian,556,71201,True
hispanic,529,71204,False
asian,690,71206,False
white,739,71206,False
hispanic,329,71204,True
white,867,71204,False
white,641,71201,True
black,410,71205,True
white,622,71203,True
white,769,71206,False
white,626,71204,False
white,717,71207,False
hispanic,546,71207,True
hispanic,734,71206,False
white,751,71203,False
white,330,71203,True
hispanic,519,71200,False
white,714,71202,False
hispanic,740,71205,False
white,739,71200,False
asian,749,71201,False
asian,768,71206,False
hispanic,566,71204,False
black,535,71204,True
white,634,71204,False
black,545,71206,True
asian,718,71203,False
asian,648,71200,False
black,796,71202,False
asian,543,71207,True
black,710,71204,False
asian,792,71200,True
black,583,71207,True
hispanic,657,71204,False
white,675,71207,False
hispanic,755,71205,False
asian,785,71200,False
white,865,71202,False
white,826,71200,False
white,630,71202,False
hispanic,402,71204,True
asian,290,71201,True
asian,720,71201,False
white,836,71203,False
white,685,71203,True
white,849,71200,False
hispanic,575,71204,False
black,654,71202,False
hispanic,449,71205,True
white,826,71200,False
asian,686,71204,False
asian,835,71202,False
asian,751,71201,False
hispanic,535,71202,False
hispanic,643,71200,False
white,396,71203,True
asian,625,71206,False
white,671,71203,False
asian,616,71200,False
asian,787,71200,False
hispanic,678,71200,False
white,828,71202,False
white,775,71207,False
hispanic,625,71205,True
hispanic,487,71207,True
white,774,71202,False
black,654,71206,False
asian,697,71202,False
asian,607,71207,False
hispanic,542,71204,False
white,705,71204,False
white,733,71202,False
black,652,71205,False
white,782,71204,False
white,529,71203,False
black,636,71202,False
asian,684,71205,False
black,682,71207,False
white,644,71201,False
hispanic,434,71204,True
white,752,71202,True
hispanic,593,71205,True
white,656,71202,False
hispanic,629,71204,False
hispanic,603,71204,True
asian,834,71202,False
white,741,71202,False
black,513,71207,True
black,561,71206,True
hispanic,406,71207,True
asian,663,71201,False
asian,661,71202,False
black,704,71204,False
white,747,71203,False
asian,680,71200,False
white,723,71201,False
white,415,71202,False
asian,719,71202,True
white,583,71206,True
white,550,71203,False
white,550,71200,True
black,591,71204,True
asian,783,71200,False
white,294,71202,True
white,529,71200,True
white,642,71202,False
white,807,71204,False
asian,776,71202,False
white,671,71203,True
hispanic,314,71202,True
white,756,71202,False
white,656,71207,False
white,788,71206,False
white,514,71201,False
white,800,71203,False
white,612,71206,False
asian,788,71202,False
black,526,71207,True
black,319,71206,True
hispanic,559,71202,True
asian,740,71200,False
white,840,71204,False
white,775,71206,False
black,629,71207,True
white,773,71202,False
white,648,71201,False
white,431,71201,True
asian,646,71201,False
white,569,71203,False
hispanic,351,71202,True
asian,639,71200,True
black,402,71206,True
asian,781,71200,False
white,847,71203,False
black,715,71200,False
black,536,71202,False
white,351,71206,True
white,707,71200,False
asian,379,71200,True
black,569,71206,True
asian,471,71204,False
black,530,71204,True
asian,624,71205,False
white,616,71202,True
asian,749,71202,False
black,584,71207,True
hispanic,320,71205,True
hispanic,618,71200,False
hispanic,324,71204,True
white,534,71204,False
white,634,71205,False
black,715,71207,False
asian,723,71200,False
black,341,71207,True
white,643,71200,False
white,656,71200,False
asian,674,71200,False
white,358,71203,True
hispanic,460,71205,True
white,749,71202,False
asian,625,71200,False
black,497,71204,True
black,639,71204,False
asian,658,71202,False
white,807,71201,False
white,636,71203,False
asian,565,71201,True
asian,630,71201,True
white,604,71202,False
black,412,71207,True
asian,739,71200,False
asian,263,71200,False
white,657,71203,False
asian,624,71201,True
white,748,71202,False
white,843,71202,False
hispanic,692,71200,False
black,384,71206,True
white,785,71205,False
asian,674,71201,False
black,401,71204,True
asian,298,71200,True
asian,712,71202,False
white,805,71203,False
hispanic,622,71202,False
white,735,71202,False
black,495,71203,True
white,497,71202,True
asian,826,71201,False
white,686,71202,False
white,712,71202,False
white,461,71206,True
asian,421,71200,True
white,745,71201,True
white,749,71201,False
black,770,71202,False
white,603,71200,True
black,469,71206,True
white,674,71205,False
asian,651,71206,False
asian,704,71202,False
asian,536,71200,True
black,614,71206,True
hispanic,596,71205,False
black,550,71207,True
white,646,71203,False
hispanic,457,71206,False
white,671,71202,False
white,474,71203,True
white,676,71204,False
black,601,71204,False
hispanic,519,71204,True
asian,613,71203,False
black,506,71206,False
hispanic,279,71204,True
black,522,71204,False
asian,276,71201,True
asian,564,71200,False
hispanic,586,71203,True
white,593,71200,False
white,407,71200,True
hispanic,484,71207,False
black,742,71204,False
black,537,71201,True
hispanic,363,71200,True
hispanic,781,71204,False
asian,685,71206,False
asian,741,71206,False
black,531,71206,False
asian,577,71200,True
white,710,71200,False
hispanic,393,71206,True
black,649,71206,False
asian,589,71201,True
asian,822,71201,False
white,765,71204,False
black,497,71207,False
hispanic,514,71205,True
asian,697,71206,False
white,393,71200,True
asian,768,71207,False
black,630,71207,False
white,518,71204,True
black,563,71204,False
asian,785,71201,False
asian,753,71202,False
white,432,71203,True
black,465,71206,True
white,870,71201,False
white,712,71203,False
black,556,71207,False
black,639,71200,False
black,593,71206,True
asian,553,71201,False
white,737,71202,False
white,764,71204,False
hispanic,683,71205,False
hispanic,664,71202,False
white,463,71203,True
white,444,71202,True
hispanic,765,71204,False
black,634,71207,True
white,629,71202,False
hispanic,594,71205,False
asian,693,71200,True
black,526,71206,True
asian,768,71200,False
hispanic,761,71204,False
white,686,71202,False
hispanic,754,71204,False
asian,611,71201,False
asian,658,71201,False
asian,712,71200,False
asian,511,71205,False
white,528,71202,True
hispanic,561,71204,True
white,820,71206,False
hispanic,847,71200,False
asian,667,71204,False
black,734,71207,False
hispanic,709,71206,True
black,449,71204,True
white,705,71200,False
asian,775,71200,False
asian,783,71206,False
white,439,71202,False
black,491,71207,True
black,625,71207,True
white,644,71202,False
white,761,71206,False
white,590,71204,False
black,464,71207,True
asian,742,71202,False
hispanic,643,71206,False
black,660,71203,True
asian,673,71200,False
white,404,71203,True
white,562,71202,True
hispanic,683,71205,True
black,482,71205,True
white,843,71200,False
white,689,71202,False
hispanic,506,71204,True
asian,681,71202,False
white,764,71203,False
white,776,71203,False
asian,674,71204,False
white,539,71202,True
black,505,71206,True
white,701,71200,False
white,566,71201,False
asian,656,71200,False
asian,342,71201,True
white,665,71206,False
asian,702,71204,False
white,766,71202,False
asian,525,71200,True
black,428,71205,True
hispanic,673,71205,False
white,768,71204,False
white,700,71202,False
hispanic,571,71202,False
hispanic,780,71200,False
black,315,71206,True
asian,722,71202,False
asian,454,71202,True
white,474,71202,False
white,438,71203,True
asian,762,71202,False
white,563,71203,True
white,467,71203,True
asian,771,71201,False
black,622,71202,False
white,688,71201,True
white,714,71202,True
black,572,71202,False
black,704,71204,False
asian,551,71200,True
asian,770,71201,False
black,774,71206,False
white,851,71201,False
black,548,71204,True
black,657,71202,False
black,764,71206,False
asian,716,71200,False
hispanic,586,71207,True
asian,515,71200,False
white,672,71203,True
black,693,71204,False
hispanic,680,71204,False
white,745,71202,False
white,799,71200,False
black,570,71202,False
asian,577,71201,True
black,602,71205,False
asian,812,71202,False
hispanic,607,71201,True
asian,621,71204,False
black,426,71205,True
white,826,71204,False
white,791,71200,False
asian,409,71200,True
black,459,71206,True
white,640,71201,False
asian,821,71204,False
asian,764,71200,False
hispanic,568,71204,True
hispanic,572,71205,True
asian,685,71202,False
white,777,71201,False
hispanic,865,71205,False
hispanic,537,71205,True
white,801,71207,False
white,369,71202,True
black,416,71206,True
white,619,71205,True
white,609,71204,False
asian,286,71207,True
white,590,71205,True
black,299,71207,True
hispanic,695,71205,False
black,544,71204,False
asian,708,71204,True
white,747,71202,False
white,625,71201,False
asian,696,71206,False
asian,782,71200,False
white,795,71204,False
black,633,71202,False
white,813,71202,False
hispanic,584,71204,True
hispanic,420,71202,True
black,503,71206,True
hispanic,509,71204,True
asian,446,71201,True
asian,471,71203,True
black,542,71207,True
white,632,71203,True
hispanic,761,71206,False
black,856,71206,False
white,603,71203,True
white,487,71200,False
white,743,71202,False
black,499,71206,False
white,834,71203,False
black,488,71203,True
asian,636,71201,False
asian,869,71201,False
white,676,71200,False
asian,767,71200,False
asian,723,71200,True
white,644,71200,False
white,644,71200,False
black,697,71206,False
asian,668,71200,False
hispanic,719,71206,True
white,663,71205,False
hispanic,356,71200,True
asian,723,71203,False
white,652,71202,True
white,820,71202,False
white,699,71203,False
white,767,71203,False
black,391,71206,True
hispanic,513,71204,False
asian,667,71200,False
white,652,71201,False
black,587,71200,False
hispanic,514,71200,False
black,443,71204,False
black,344,71206,True
asian,786,71200,False
white,585,71201,False
hispanic,486,71204,True
black,625,71207,False
black,382,71205,True
black,434,71202,False
white,670,71202,False
white,304,71200,True
white,765,71202,False
asian,637,71201,False
hispanic,697,71204,False
black,485,71206,True
hispanic,701,71206,False
hispanic,480,71205,True
white,699,71203,False
white,605,71203,False
asian,597,71200,False
black,428,71206,True
hispanic,648,71204,False
asian,873,71201,False
hispanic,427,71204,True
asian,615,71200,True
white,693,71202,True
hispanic,589,71205,False
asian,649,71204,False
hispanic,279,71206,False
black,618,71206,True
white,527,71202,False
asian,378,71203,True
white,744,71200,False
black,517,71206,False
asian,640,71204,False
white,790,71203,False
asian,758,71201,True
asian,640,71203,True
hispanic,237,71205,True
white,751,71206,False
white,616,71203,False
white,640,71203,False
asian,423,71204,False
white,793,71203,False
hispanic,634,71204,True
asian,665,71207,False
asian,394,71204,True
hispanic,438,71206,False
black,595,71202,False
black,551,71205,False
asian,442,71203,True
black,340,71205,True
white,713,71204,False
black,649,71207,False
hispanic,743,71204,False
asian,443,71201,True
asian,564,71207,False
hispanic,662,71202,False
hispanic,598,71206,False
white,326,71202,True
white,345,71202,True
asian,835,71205,False
white,674,71207,False
asian,516,71201,True
hispanic,553,71206,False
white,633,71203,True
white,609,71202,False
white,521,71203,True
hispanic,598,71202,False
asian,687,71206,False
asian,804,71204,False
hispanic,346,71207,False
asian,650,71200,False
hispanic,602,71202,False
white,778,71202,True
white,883,71204,False
white,796,71203,False
white,772,71203,False
hispanic,687,71204,False
black,512,71204,True
hispanic,443,71205,True
asian,714,71202,False
black,625,71207,True
hispanic,762,71204,False
white,635,71204,False
white,345,71202,True
hispanic,408,71205,True
white,593,71202,False
asian,576,71207,True
white,548,71203,True
black,644,71206,False
hispanic,422,71205,True
black,548,71206,True
black,588,71207,True
asian,637,71200,False
asian,667,71202,False
hispanic,616,71205,True
black,405,71207,True
white,666,71200,False
white,725,71206,False
black,311,71206,True
asian,717,71200,True
hispanic,291,71203,True
white,696,71203,True
hispanic,537,71207,False
white,758,71201,False
hispanic,560,71204,True
white,595,71201,True
hispanic,536,71205,True
asian,595,71202,False
white,710,71202,False
black,518,71205,True
black,493,71205,True
white,736,71205,False
black,577,71202,False
white,848,71204,False
white,650,71204,False
hispanic,724,71202,False
asian,630,71202,False
white,436,71203,False
black,501,71206,True
white,713,71202,True
white,350,71201,True
white,399,71201,True
hispanic,313,71204,True
white,837,71200,False
black,571,71206,True
white,732,71202,False
black,592,71207,True
hispanic,355,71205,True
black,538,71207,True
asian,699,71201,False
white,812,71200,False
asian,608,71201,False
asian,732,71206,False
black,425,71207,True
black,516,71203,True
white,387,71203,True
white,460,71203,False
black,380,71206,True
black,336,71206,True
asian,521,71201,True
black,768,71206,False
